attack,budget,n_total,n_clean_correct,n_success,asr,robust_acc,avg_changes
keyword_substitution,1,500,444,48,0.10810810810810811,0.8918918918918919,1.0
keyword_substitution,2,500,444,91,0.20495495495495494,0.795045045045045,1.8918918918918919
keyword_substitution,3,500,444,146,0.32882882882882886,0.6711711711711712,2.684684684684685
char_perturbation,1,500,444,42,0.0945945945945946,0.9054054054054054,1.0
char_perturbation,2,500,444,71,0.15990990990990991,0.8400900900900901,1.9054054054054055
char_perturbation,3,500,444,92,0.2072072072072072,0.7927927927927928,2.7522522522522523
