epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.2499,0.9014,0.1408,0.9502,0.9502
2,0.1977,0.9226,0.1044,0.9666,0.9666
3,0.1576,0.9379,0.1029,0.9666,0.9666
