attack,budget,n_total,n_clean_correct,n_success,asr,robust_acc,avg_changes
keyword_substitution,1,500,433,49,0.11316397228637413,0.8868360277136259,1.0
keyword_substitution,2,500,433,108,0.24942263279445728,0.7505773672055427,1.8868360277136258
keyword_substitution,3,500,433,155,0.3579676674364896,0.6420323325635104,2.6374133949191685
char_perturbation,1,500,433,47,0.10854503464203233,0.8914549653579676,1.0
char_perturbation,2,500,433,82,0.18937644341801385,0.8106235565819861,1.8937644341801385
char_perturbation,3,500,433,114,0.2632794457274827,0.7367205542725174,2.7020785219399537
