attack,budget,n_total,n_clean_correct,n_success,asr,robust_acc,avg_changes
keyword_substitution,1,500,432,42,0.09722222222222222,0.9027777777777778,1.0
keyword_substitution,2,500,432,65,0.15046296296296297,0.8495370370370371,1.8819444444444444
keyword_substitution,3,500,432,101,0.2337962962962963,0.7662037037037037,2.6944444444444446
char_perturbation,1,500,432,9,0.020833333333333332,0.9791666666666666,1.0
char_perturbation,2,500,432,8,0.018518518518518517,0.9814814814814815,1.8888888888888888
char_perturbation,3,500,432,11,0.02546296296296296,0.9745370370370371,2.736111111111111
