attack,budget,n_total,n_clean_correct,n_success,asr,robust_acc,avg_changes
keyword_substitution,1,500,441,46,0.10430839002267574,0.8956916099773242,1.0
keyword_substitution,2,500,441,84,0.19047619047619047,0.8095238095238095,1.875283446712018
keyword_substitution,3,500,441,134,0.30385487528344673,0.6961451247165533,2.6485260770975056
char_perturbation,1,500,441,6,0.013605442176870748,0.9863945578231292,1.0
char_perturbation,2,500,441,5,0.011337868480725623,0.9886621315192744,1.9024943310657596
char_perturbation,3,500,441,8,0.018140589569160998,0.981859410430839,2.7324263038548753
